hparam_dom_sp_name,hparam_dom_sp_code,hparam_zone,hparam_b0,hparam_b1,hparam_b2,hparam_b3,hparam_b4,hparam_b5,hparam_notes
Rauli,1,1,5.5376528,0.79345322,0.045889993,-11.460181,-0.000579062,-0.000530055,"no obs"
Roble,2,1,6.7715419,0.73644933,0.11208508,-12.725946,-0.000486763,-0.001347591,"no obs"
Coigue,3,1,5.1584705,0.73333873,0.11016634,-9.831405,-0.000669576,-0.001050662,"no obs"
Rauli,1,2,1.3115909,1.0537924,-0.10914058,-8.8583236,-0.000960942,-0.000293241,"no obs"
Roble,2,2,3.7050934,1.0382325,-0.15871921,-11.0617,-0.00110801,-0.000246154,"no obs"
Coigue,3,2,5.9684005,0.82622257,-0.1466055,-12.414283,-0.00060517,-0.00042353,"no obs"
Rauli,1,3,3.6338967,0.90165108,0.028996612,-7.8153418,-0.001041428,-0.000434796,"Not in the original data, added by Paulo"
Roble,2,3,3.6338967,0.90165108,0.028996612,-7.8153418,-0.001041428,-0.000434796,"no obs"
Coigue,3,3,6.8098609,0.79999337,-0.093705083,-11.438595,-0.000724468,-8.71E-05,"no obs"
Rauli,1,4,8.621635,1.060004,-0.63095365,-12.328377,-0.00116886,0.00061873,"no obs"
Roble,2,4,3.3075598,1.1073476,-0.27128971,-9.2708338,-0.001272233,0.000243769,"no obs"
Coigue,3,4,4.5258233,1.0498361,-0.28822972,-9.9605142,-0.001169715,0.000170688,"no obs"
Otras,4,5,7.372264,0.60149107,-0.084003147,-14.196653,-0.000577908,-0.000213693,"no obs"
