"","ID","SPECIE","DBH","HT","SS","FT"
"1798",411002,2,26.2,27.5,2,1
"1799",411002,2,33.2,NA,1,1
"1800",411002,2,33.9,NA,1,1
"1801",411002,2,40.9,38.5,1,1
"1802",411002,2,40.7,NA,1,1
"1803",411002,2,40.8,NA,1,1
"1804",411002,2,35.4,NA,2,1
"1805",411002,2,26.4,NA,2,1
"1806",411002,2,15,24.4,2,1
"1807",411002,2,21.5,NA,2,1
"1808",411002,2,32.7,NA,1,1
"1809",411002,2,18.5,26.5,3,1
"1810",411002,2,21.8,NA,2,1
"1811",411002,2,27.5,31,1,1
"1812",411002,2,30.1,32,1,1
"1813",411002,2,33.4,33.5,1,1
"1814",411002,2,35.8,34,1,1
"1815",411002,2,37.6,34.3,1,1
"1816",411002,2,28.8,NA,1,1
"1817",411002,2,29.3,27.5,1,1
"1818",411002,2,18.8,NA,3,1
"1819",411002,2,25.5,NA,2,1
"1820",411002,2,31,29,1,1
